Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,BAT-SMD_C238096,1,2998,C6078169
"C1, C11, C13, C14, C15, C17, C18, C2, C20, C21, C22, C5, C6, C8, C9",0402,15,100n,C307331
"C10, C12, C7",0402,3,1u,C52923
"C16, C19",0402,2,22p,C1555
"C3, C4",0402,2,15p,C1548
D1,D_SOD-923,1,PESD9R3.3ST5G,C2912536
D2,SOD-323,1,0.5A/40V/420mV,C426868
"D3, D6",0603,2,LED,C2286
D5,0603,1,LED,C2288
"J2, J4",USB_C_Receptacle_Palconn_UTC16-G,2,USB_C_Receptacle_USB2.0_16P,C2765186
L1,0402,1,27n >300mA,C12669
Q1,SOT-23,1,IRLML6344,C5364313
"R1, R11, R12, R2",0402,4,5.1k,C25905
"R14, R20, R22, R8",0402,4,1k,C11702
R15,0402,1,10k,C25744
"R16, R17, R3, R4",0402,4,27,C25100
R24,0402,1,10R,C25077
R5,0402,1,100R,C25078
R6,0402,1,2.2k,C25879
R7,0603,1,1 k,C21190
R9,0402,1,3.3k,C25936
RF1,SMA-TH_BWSMA-KWE-Z001,1,BWSMA-KWE-Z001,C496551
S2,SW_TS-1187A-B-A-B,1,TS-1187A-B-A-B,C318884
U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,C190862
U3,QFN28_6X6MC_MCH,1,MCP25625T-E/ML,C191253
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,XCVR_NEO-M9N-00B,1,NEO-M9N,C5119087
X1,ABM8-272-T3_ABR,1,ABM8-272-T3,C20625731
Y1,OSC_X322516MLB4SI,1,X322516MLB4SI,C12668
